#,单词,音标,解释,笔记
4028,"bound","英:/baʊnd/ 美:/baʊnd/","- vi. 跳；弹回
- vt. 给…划界，限制
- n. 跳，跳跃，跃进
- 界限，范围
- adj. 被捆绑的，被束缚的
- 一定的，必定的
- 去，准备去

时 态:  
bounded，bounding，bounds",
4029,"bounce","英:/baʊns/ 美:/baʊns/","- n. 弹力；活力；跳
- vt. 弹跳；使弹起
- vi. 弹起，反跳；弹跳；弹回


时 态:  
bounced, bouncing, bounces",
4030,"boulevard","英:/ˈbuːləvɑːd/ 美:/ˈbʊləvɑːrd/","- n. （市区的）林荫大道
- （常用作街道名称）要道，大街",
4031,"bottom","英:/ˈbɒtəm/ 美:/ˈbɑːtəm/","- n. 底部，最下部，（朝下的）底，底面
- （容器内的）底；（湖、河、游泳池等的）底，水底
- （班级、名单等的）最末位置，排名最后的人（或团队等）
- （吃水线以下的）船底，船身
- 【英】…尽头；屁股，臀部
- （两件套衣服的）下半身（bottoms）
- adj. 底部的，最后的，尽头的
- v. （价格、恶劣局势等）降到最低点，停止恶化（bottom out）


时 态:  
bottomed，bottoming，bottoms",
4032,"bottle","英:/'bɒt(ə)l/ 美:/'bɑtl/","- n. 瓶子
- vt. 把…装入瓶中
- 抑制；控制

时 态:  
bottled，bottling，bottles 

名 词:  
bottler",
4033,"bother","英:/ˈbɒðə(r)/ 美:/ˈbɑːðər/","- vt. 烦扰，打扰；使……不安；使……恼怒
- vi. 烦恼；操心，麻烦
- n. 麻烦；烦恼


时 态:  
bothered, bothering, bothers",
4034,"botanic","/bo'tænɪk/","adj. 植物学的；植物的",
4035,"boston","英:/ˈbɔstən/ 美:/ˈbɔstən/","n. 波士顿(美国马萨诸塞州首府)

形容词:  
Bostonian",
4036,"boss","英:/bɒs/ 美:/bɔːs/","- n. 老板；工头；领班；领导
- v. 对…颐指气使；对…指手画脚
- adj.【俚】很好的

BOSSabbr. Bioastronautical Orbiting Space Station 宇宙生物轨道空间站

时 态:  
bossed, bossing, bosses",
4037,"borrow","英:/ˈbɒrəʊ/ 美:/ˈbɔːroʊ/","- vi. 借；借用；从其他语言中引入
- vt. 借用；借

Borrow博罗(姓氏)

时 态:  
borrowed, borrowing, borrows 

名 词:  
borrower",
4038,"boring","英:/ˈbɔːrɪŋ/ 美:/ˈbɔːrɪŋ/","adj. 无趣的, 单调的, 乏味的

副 词:  
boringly",
4039,"bore","英:/bɔː(r)/ 美:/bɔːr/","- vt. 令人厌烦
- vt. & vi. 挖, 掘, 钻, 开凿(洞、井、隧道等)
- n. 令人讨厌的人或事物, 麻烦
BOREabbr. Beryllium Oxide Reactor Experiment 氧化铍实验性反应堆

时 态:  
bored, boring, bores",
4040,"boost","英:/buːst/ 美:/buːst/","- vt. 促进；增加；支援
- vi. 宣扬；偷窃
- n. 帮助；推动；宣扬


时 态:  
boosted, boosting, boosts",
4041,"boom","英:/buːm/ 美:/buːm/","- vt. 发隆隆声；使兴旺
- vi. 发隆隆声；急速发展
- n. 繁荣；隆隆声；吊杆


时 态:  
boomed, booming, booms",
4042,"bookstore","英:/'bʊkstɔː/ 美:/'bʊk,stor/","n. 书店",
4043,"booklet","英:/'bʊklɪt/ 美:/'bʊklət/","n. 小册子",
4044,"booking","英:/'bʊkɪŋ/ 美:/'bʊkɪŋ/","n. 预约, 预订",
4045,"booked","/bu:kt/","登记的",
4046,"bookcase","英:/'bʊkkeɪs/ 美:/'bʊkkes/","n. 书柜，书架",
4047,"book","英:/bʊk/ 美:/bʊk/","- n. 书, 书籍
- 账簿
- 卷, 篇, 部
- 歌剧的歌词
- vt. & vi. 预订
- vt. 登记, 记账
- 订立演出契约

时 态:  
booked, booking, books 

名 词:  
booker",
4048,"bonus","英:/ˈbəʊnəs/ 美:/ˈboʊnəs/","n. 奖金；红利；额外津贴

BONUSabbr. Boling Nuclear Superheat Reactor 沸腾式过热核反应堆",
4049,"bone","英:/bəʊn/ 美:/boʊn/","- n. 骨；骨骼；香烟；一首歌
- vt. 剔去...的骨；施骨肥于
- vi. 苦学；专心致志


时 态:  
boned, boning, bones",
4050,"bolt","英:/bəʊlt/ 美:/boʊlt/","- n. 闪电；螺栓；门闩；弩箭
- vt. 囫囵吞下；上门闩
- vi. 逃跑；冲出
- adv. 直立地；突然地


时 态:  
bolted, bolting, bolts",
4051,"bold","英:/bəʊld/ 美:/boʊld/","- adj. 勇敢的, 无畏的
- 冒失的, 鲁莽的
- 明显的, 醒目的
- 粗体的, 黑体的

比较级:  
bolder, boldest 

副 词:  
boldly

名 词:  
boldness",
4052,"body","英:/'bɒdɪ/ 美:/'bɑdi/","- n. 身体；主体；团体；主要部分；大量
- vt. 赋以形体",
4053,"bob","英:/bɒb/ 美:/bɑːb/","- vt. 使上下(或来回)快速摆动
- 剪短(头发)；截短(尾巴)
- 轻敲，轻打
- vi. 上下(或来回)快速摆动；跃起
- 行屈膝礼
- 用浮子钓鱼
- (游戏中)试咬住悬挂(或飘动)的目的物(如水果等)
- (迅速)冒出
- (突然) 出现
- n. 上下(或来回)快速摆动；跳跃
- 屈膝礼
- 跳跃舞(一种苏格兰民间舞)
- 钟摆；秤锤
- (丝带、头发等的)一束，一团
- (孩童或女子的)短发
- 剪短的马尾
- (钓鱼线上的)浮子；一串鱼饵
- 连橇；大雪橇
- 轻敲，轻打
- 歌曲的短叠句
- (旧时英币)一先令(相当于现时的五便士)
Bobn. 鲍勃（男子名）

时 态:  
bobbed，bobbing，bobs 

名 词:  
bobber",
4054,"boat","英:/bəʊt/ 美:/boʊt/","- n. 小船；轮船
- vi. 划船


时 态:  
boated, boating, boats",
4055,"boast","英:/bəʊst/ 美:/boʊst/","- n. 自吹自擂, 自夸的话
- vt. & vi. 自夸
- vt. 有(引以为荣的事物)

时 态:  
boasted, boasting, boasts 

名 词:  
boaster

形容词:  
boastful",
4056,"boarding","英:/'bɔːdɪŋ/ 美:/'bɔrdɪŋ/","- n. 木板；寄膳宿；上船
- adj. 供膳的
- v. 用木板遮住；收费为…供膳（board的ing形式）",
4057,"board","英:/bɔːd/ 美:/bɔːrd/","- n. 板, 牌子, 黑板
- 纸板, 木板
- 委员会, 董事会
- (包饭的)伙食
- vt. 用木板覆盖或封闭
- 上(船、车或飞机)
- vt. & vi. 搭伙(并寄宿), 收费供膳食(及住宿)

时 态:  
boarded, boarding, boards",
4058,"boa","英:/'bəʊə/ 美:/'boə/","- n. 蟒
- 女用长围巾
- 王蛇",
4059,"blundering","/'blʌndərɪŋ/","adj. 浮躁的,笨拙的,易犯错的",
4060,"blueprint","英:/ˈbluːprɪnt/ 美:/ˈbluːprɪnt/","n. 蓝图, 设计图

时 态:  
blueprinted, blueprinting, blueprints",
4061,"blue","英:/bluː/ 美:/bluː/","- adj. 蓝色的；天蓝色的；蔚蓝色的
- 悲伤的；忧郁的；沮丧的
- 下流的
- n. 蓝色；天蓝色；蔚蓝色
- 【英式】牛津（或剑桥）大学校队运动员（头衔）
- v. 变蓝；（使）变蓝；把…染成蓝色

BLUE最佳线性无偏估计量

比较级:  
bluer, bluest 

副 词:  
bluely

名 词:  
blueness",
4062,"blow","英:/bləʊ/ 美:/bloʊ/","- n. 吹；殴打；打击
- vi. 风吹；喘气
- vt. 风吹


时 态:  
blew 
blown 
blowing, blows",
4063,"blouse","英:/blaʊz/ 美:/blaʊs/","- n. 宽松的上衣；女装衬衫
- vt. 使…宽松下垂
- vi. 宽松下垂


时 态:  
bloused, blousing, blouses",
4064,"blockbuster","英:/ˈblɒkbʌstə(r)/ 美:/ˈblɑːkbʌstər/","n. 重磅炸弹, 了不起的人或事",
4065,"block","英:/blɒk/ 美:/blɑːk/","- n. 块；街区；障碍物；大厦
- vt. 阻塞；阻止；限制
- adj. 成批的，大块的；交通堵塞的

Block布洛克, 赫伯特·劳伦斯((生于 1909) 美国卡通片制作者, 优秀作品曾见诸《华盛顿邮报》 及遍布全国的200多家报纸。他获得了1942年和1954年的普利策奖) 

时 态:  
blocked, blocking, blocks 

名 词:  
blocker",
4066,"blender","英:/'blendə/ 美:/'blɛndɚ/","n. 掺和者；混合物；（美）搅拌机",
4067,"blend","英:/blend/ 美:/blend/","- vt. & vi. (使)混合, (使)混杂
- n. 混合物

时 态:  
blended, blent  
blending, blends",
4068,"bleat","英:/bliːt/ 美:/blit/","- vi. (羊, 小牛)叫, 咩咩的叫
- 发出羊叫似的声音
- 哭诉,抱怨
- 胡扯
- 轻声诉说
- vt. 咩咩地发出
- 以颤抖可怜的声音说出
- 愚蠢地讲
- n. (小羊)咩咩的叫声
- 羊叫似的声音

时 态:  
bleated, bleating, bleats",
4069,"blanket","英:/ˈblæŋkɪt/ 美:/ˈblæŋkɪt/","- n. 毛毯，毯子
- adj. 适用于任何情况的；总括的，综合的
- v. 以厚层覆盖

时 态:  
blanketed, blanketing, blankets",
4070,"blank","英:/blæŋk/ 美:/blæŋk/","- adj. 空白的, 空着的
- 茫然的, 无表情的

比较级:  
blanker, blankest 

副 词:  
blankly

名 词:  
blankness",
4071,"bland","英:/blænd/ 美:/blænd/","- adj. 乏味的；冷漠的；温和的
- vt. 使…变得淡而无味；除掉…的特性
- vi. 变得平淡无奇；丧失特性


比较级:  
blander, blandest 

副 词:  
blandly

名 词:  
blandness",
4072,"blair","英:/bleə/ 美:/blɛr/","n. 布莱尔(m.)",
4073,"blade","英:/bleɪd/ 美:/bleɪd/","n. 刀片，刀锋；叶片；剑


形容词:  
bladed",
4074,"black","英:/blæk/ 美:/blæk/","- adj. 黑色的, 黑暗的
- (关于)黑人的
- 暗淡的, 毫无希望的
- n. 黑色
- 黑人
Black布莱克(①姓氏 ②Hugo La Fayette, 1886-1971, 美国法学家)

比较级:  
blacker, blackest 

形容词:  
blackish

副 词:  
blackly

名 词:  
blackness",
4075,"blab","英:/blæb/ 美:/blæb/","- vi. 瞎说乱讲；泄露秘密
- vt. 泄漏(秘密)
- n. 胡说乱讲，闲谈，胡言
- 瞎说的人；泄漏秘密的人

时 态:  
blabbed，blabbing，blabs 

形容词:  
blabby",
4076,"biweekly","英:/baɪ'wiːklɪ/ 美:/baɪ'wikli/","- adj. 两周一次的；每周两次的
- n. 双周刊
- adv. 两周一次地；每周两次地",
4077,"bitter","英:/ˈbɪtə(r)/ 美:/ˈbɪtər/","- adj. 有苦味的
- 严寒的，刺骨的
- 辛酸的，引起痛苦的；难以接受的
- 充满仇恨的

比较级:  
bitterer，bitterest 

副 词:  
bitterly

名 词:  
bitterness",
4078,"bit","英:/bɪt/ 美:/bɪt/","- n. 少量；马嚼子；比特（二进位制信息单位）；辅币；[口]老一套
- vt. 控制
- adj. 很小的；微不足道的
- adv. 相当；有点儿
- v. 咬（bite的过去式和过去分词）

Bit（二进制）位，比特

时 态:  
bitted, bitting, bits",
4079,"bistro","英:/'biːstrəʊ/ 美:/'bistro/","n. 〈俗〉小酒馆,酒吧；小餐馆",
4080,"biscuit","英:/'bɪskɪt/ 美:/'bɪskɪt/","n. 小点心，饼干",
4081,"birthday","英:/'bɜːθdeɪ/ 美:/'bɝθde/","n. 生日，诞辰；诞生的日子",
4082,"bin","英:/bɪn/ 美:/bɪn/","- n. 大储藏箱
- 宽口箱(如面包箱, 垃圾箱等)

时 态:  
binned, binning, bins",
4083,"billing","英:/'bɪlɪŋ/ 美:/'bɪlɪŋ/","n. (节目单或戏院大门上的)演员表,(演员表上的)演员次序",
4084,"bill","英:/bɪl/ 美:/bɪl/","- n. 账单；法案；广告；钞票；票据；清单
- vt. 宣布；开账单；用海报宣传

Bill
- n. 比尔(男子名, William 的昵称)
- 警察；警方

时 态:  
billed, billing, bills",
4085,"bike","英:/baɪk/ 美:/baɪk/","- n. 自行车；脚踏车
- vi. 骑自行车（或摩托车）


时 态:  
biked, biking, bikes",
4086,"biggest","/bigist/","adj. 最大的（big的最高级）",
4087,"big","英:/bɪg/ 美:/bɪɡ/","- adj. 大的，硕大的，高大的
- 重要的，重大的
- 年龄较大的，长大了的
- 成功的；大受欢迎的

比较级:  
bigger，biggest 

形容词:  
biggish

名 词:  
bigness",
4088,"biennial","英:/baɪ'enɪəl/ 美:/baɪ'ɛnɪəl/","- adj. 两年一次的
- n. 二年生植物


副 词:  
biennially",
4089,"bid","英:/bɪd/ 美:/bɪd/","- vt. 投标；出价；吩咐；表示
- vi. 投标；吩咐
- n. 出价；叫牌；努力争取

BIDabbr. British Intelligence Department 英国情报部

时 态:  
bade , bid 
bidden , bid 
bidding, bids 

名 词:  
bidder",
4090,"bicycle","英:/ˈbaɪsɪkl/ 美:/ˈbaɪsɪkl/","n. 自行车, 脚踏车

时 态:  
bicycled, bicycling, bicycles 

名 词:  
bicycler",
4091,"bibliography","英:/ˌbɪbliˈɒɡrəfi/ 美:/ˌbɪbliˈɑːɡrəfi/","- n. (有关某一专题或某一作者的著作的)书目
- 书志学, 文献学

形容词:  
bibliographical",
4092,"beyond","英:/bɪˈjɒnd/ 美:/bɪˈjɑːnd/","- prep. 超过；越过；在...较远的一边；那一边
- adv. 在更远处；在远处
- n. 远处",
4093,"beverage","英:/ˈbevərɪdʒ/ 美:/ˈbevərɪdʒ/","n. 饮料",
4094,"better","英:/ˈbetə(r)/ 美:/ˈbetər/","- adj. 有好转的
- 更好的
- adv. 更好地
- 更
- vt. 改善; 提高
- n. 更好者; 较优越者
- 前辈; 长者; 上级
Comparative of 
good",
4095,"bet","英:/bet/ 美:/bet/","- n. 打赌；赌注
- 预计；估计
- v. 下赌注（于）；用…打赌
-  希望；期待
- 【非正式】敢说；八成儿
BETabbr. Balanced-Emitter Transister 平衡发射极晶体管

时 态:  
bet, betted 
betting, bets",
4096,"best bet","","",
4097,"best","英:/best/ 美:/best/","adj. 最好的；最愉快的；最合适的
adv. 最高程度地；最好地，最出色地；最适合地
n. (the best) 最好的人（或事物）；最高标准，最佳状态；最符合要求的事物；最高纪录；主要优点；盛装；（书信结尾的）良好祝愿
v. 打败，胜过
Best贝斯特, 查尔斯·赫伯特((1899-1978) 美裔加拿大生理学家, 因其对胰岛素的发现与应用方面的工作而著名)
BESTabbr. Business EDP System Technique 商用电子数据处理系统技术
Superlative of 
good",
4098,"besides","英:/bɪˈsaɪdz/ 美:/bɪˈsaɪdz/","- adv. 而且, 还有
- prep. (表示排斥)除…之外(还有)",
4099,"beside","英:/bɪˈsaɪd/ 美:/bɪˈsaɪd/","prep. 在旁边；与…相比；和…无关",
4100,"benefit","英:/ˈbenɪfɪt/ 美:/ˈbenɪfɪt/","- vt. & vi. 有益于, 得益
- n. 益处, 好处
- 救济金, 保险金

时 态:  
benefitedalso benefitted 
benefitingbenefitting 
benefitsbenefits",
4101,"beneficially","/beni'fiʃəli/","adv. 获利地,受益地",
4102,"beneficial","英:/ˌbenɪˈfɪʃl/ 美:/ˌbenɪˈfɪʃl/","adj. 有益的, 有利的

副 词:  
beneficially",
4103,"benchmark","英:/'ben(t)ʃmɑːk/ 美:/'bɛntʃmɑrk/","基准

时 态:  
benchmarked, benchmarking, benchmarks",
4104,"bench","英:/bentʃ/ 美:/bentʃ/","- n. 长凳；工作台；（健身房里的）练习台；运动员休息区；替补队员席；法官；法官席；（英国议会的）议员席（the benches）
- v. 把（场上队员）换下；罚（场上队员）下场；不让（队员）上场；仰卧推举，卧推

时 态:  
benched, benching, benches",
4105,"belvedere","英:/'belvɪdɪə/ 美:/'bɛlvədɪr/","n. (通常顶层的)望楼, 观景楼",
4106,"belonging","英:/bɪ'lɒŋɪŋ/ 美:/bə'lɔŋɪŋ/","n. 附属品，附件；属性",
4107,"belong","英:/bɪˈlɒŋ/ 美:/bɪˈlɔːŋ/","- vi. 属于；是…的成员
- 应被放在，应归入
- 适应，合得来

时 态:  
belonged，belonging，belongs",
4108,"believe","英:/bɪ'liːv/ 美:/bɪ'liv/","- vi. 信任；料想；笃信宗教
- vt. 相信；认为；信任


时 态:  
believed, believing, believes 

名 词:  
believer",
4109,"belief","英:/bɪˈliːf/ 美:/bɪˈliːf/","n. 相信，信赖；教义；信仰",
4110,"beige","英:/beɪʒ/ 美:/beʒ/","- n. 米黄色
- adj. 浅褐色的；米黄色的",
4111,"behind","英:/bɪˈhaɪnd/ 美:/bɪˈhaɪnd/","- prep. 在（或向）…的后面；在（或向）…的背面
- 落后于
- 支持；赞成
- 是…产生（或发展）的原因
- 成为（某人的）过去
- adv. 在（或向）…的后面；在后面较远处
- 留在原地
- 拖欠；积压（工作）
- n. 【非正式】义同bottom，委婉说法，即屁股",
4112,"behalf","英:/bɪˈhɑːf/ 美:/bɪˈhæf/","n. 方面, 利益, 赞同",
4113,"beginning","英:/bɪ'gɪnɪŋ/ 美:/bɪ'ɡɪnɪŋ/","n. 开始，起点；根源",
4114,"begin","英:/bɪˈɡɪn/ 美:/bɪˈɡɪn/","- vt. 开始
- vi. 开始；首先


时 态:  
began 
begun 
beginning, begins",
4115,"beforehand","英:/bɪˈfɔːhænd/ 美:/bɪˈfɔːrhænd/","adv. 预先, 事先",
4116,"before long","","(时间)不久之后, 在短时间内",
4117,"beep","英:/biːp/ 美:/bip/","- n. 哔哔声
- v. 嘟嘟响

时 态:  
beeped, beeping, beeps",
4118,"beef","英:/biːf/ 美:/bif/","- n. 牛肉；食用牛；肌肉；牢骚
- vi. 抱怨，告发；发牢骚
- vt. 养；加强

BEEFabbr. Business and Engineering Enriched Fortran 商业与工程扩展 Fortran 语言",
4119,"bedroom","英:/ˈbedruːm，ˈbedrʊm/ 美:/ˈbedruːm，ˈbedrʊm/","- n. 卧室，寝室
- adj. 城郊住宅区的
- 两性关系的；男女性爱的",
4120,"bed","英:/bed/ 美:/bɛd/","- n. 床；基础；河底， 海底
- vt. 使睡觉；安置，嵌入；栽种
- vi. 分层；上床

BEdabbr. Bachelor of Education 教育学士
BED
- abbr. Bridge-Element Delay 电桥元延迟
- big end down 上小下大钢锭模

时 态:  
bedded, bedding, beds",
4121,"becoming","英:/bɪ'kʌmɪŋ/ 美:/bɪ'kʌmɪŋ/","- adj. 合适的，适当的
- n. （变化过程的）形成，发生


副 词:  
becomingly",
4122,"become","英:/bɪ'kʌm/ 美:/bɪ'kʌm/","- link v. 变为, 成为
- vt. 适合

时 态:  
became 
become, becoming, becomes",
4123,"beauty","英:/ˈbjuːti/ 美:/ˈbjuːti/","- n. 美, 漂亮
- 美人, 美的东西",
4124,"beautify","英:/ˈbjuːtɪfaɪ/ 美:/ˈbjuːtɪfaɪ/","- vt. 美化,装饰
- vi. 变美

时 态:  
beautified, beautifying, beautifies 

名 词:  
beautification

名 词:  
beautifier",
4125,"beautiful","英:/ˈbjuːtəf(ə)l/ 美:/'bjʊtəfəl/","- adj. 美丽的, 悦目的
- 极好的, 很好的

副 词:  
beautifully",
4126,"beautification","/ˌbju:tifi'keiʃən/","n. 美化",
4127,"beat","英:/biːt/ 美:/bit/","- vi. (心脏等)跳动
- vt. & vi. 接连地击打
- vt. 打败
- n. 敲打, 敲打声
- 节拍, 拍子

时 态:  
beat, beaten , beat 
beating, beats",
4128,"bear with","","",
4129,"bear","英:/beə(r)/ 美:/ber/","- n. 熊；(在证券市场等)卖空的人
- v. 有（某个名称）；支撑；承受；显示；忍受；开（花）；携带；承担责任；生育，生（孩子）；转向（左或北等）；举止；心怀；不适于某事(或做某事)


时 态:  
bore 
borne , born  
bearing, bears",
4130,"beach","英:/biːtʃ/ 美:/bitʃ/","n. 海滩, 海滨

时 态:  
beached, beaching, beaches",
4131,"be supposed to","","应该，认为必须，被期望",
4132,"be subjected to","","使经受, 使遭受",
4133,"be on offer","","",
4134,"be of assistance","","",
4135,"be made aware of","","",
4136,"be into","","",
4137,"be fond of","","爱好, 喜欢",
4138,"be eager to","","热切想做, 渴望要做",
4139,"be due for","","",
4140,"be due back","","",
4141,"be aware of","","意识到",
4142,"bazaar","英:/bəˈzɑː(r)/ 美:/bəˈzɑːr/","n. 集市；市场；义卖市场",
4143,"bay","英:/beɪ/ 美:/beɪ/","- n. 海湾；狗吠声
- vt. 向…吠叫
- vi. 吠叫；大声叫嚷


时 态:  
bayed, baying, bays",
